,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,SolvationFreeEnergy Value (kJ / mol),SolvationFreeEnergy Uncertainty (kJ / mol),Source
0,ecb1bca19f2e4eb085a0541f6a3791a5,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCO,Solute,,1,-19.74848,2.5104,10.1021/ct050097l
2,472d26723d4448088a9cab9430d45610,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCC[N+](=O)[O-],Solute,,1,-11.79888,2.5104,10.1021/ct050097l
3,65670f0c542748648c27faa85a2ff377,298.15,101.325,Liquid,2,O,Solvent,1.0,,OC1CCCCCC1,Solute,,1,-22.928320000000003,2.5104,10.1021/ct050097l
4,c76ccc9c295b414aa226289b177a403d,298.15,101.325,Liquid,2,O,Solvent,1.0,,COC(=O)c1ccc([N+](=O)[O-])cc1,Solute,,1,-28.78592,2.5104,10.1139/v92-210
6,92c28f849adc43899ab9b55c2127afae,298.15,101.325,Liquid,2,O,Solvent,1.0,,CO,Solute,,1,-21.3384,2.5104,10.1021/ct050097l
7,8ef1310798a248d5807d92fe08b70c50,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)(C)O,Solute,,1,-18.70248,2.5104,10.1021/ct050097l
8,4cf04c820b444504be16e942b6cf6ede,298.15,101.325,Liquid,2,O,Solvent,1.0,,C1COCCN1,Solute,,1,-29.99928,2.5104,10.1021/ct050097l
11,6f3f0c29920b4f4a8ecc1c4ba4bd51d1,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cccc(C)c1O,Solute,,1,-22.00784,2.5104,10.1021/ct050097l
12,be5a504f36b4468ab354dd811729bf2a,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1c[nH]c2ccccc12,Solute,,1,-24.60192,2.5104,10.1021/bi00507a030
14,e67c9b6fb9dd44658bdd141fb6e54c9d,298.15,101.325,Liquid,2,O,Solvent,1.0,,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,Solute,,1,-85.85568,1.12968,10.1007/s10822-010-9350-8
