,component_number,conformer_number,charge_method,environment,atom_index,symbol,charge
0,1,0,atb_lowest,atb,0,C,0.322
1,1,0,atb_lowest,atb,1,N,-1.013000008
2,1,0,atb_lowest,atb,2,H,-0.022999997
3,1,0,atb_lowest,atb,3,H,-0.022999997
4,1,0,atb_lowest,atb,4,H,-0.022999997
5,1,0,atb_lowest,atb,5,H,0.379999999
6,1,0,atb_lowest,atb,6,H,0.379999999
7,1,0,elf10,openeye,0,C,0.145940001
8,1,0,elf10,openeye,2,H,0.025769995
9,1,0,elf10,openeye,3,H,0.025769995
10,1,0,elf10,openeye,4,H,0.025769995
11,1,0,elf10,openeye,5,H,0.346940006
12,1,0,elf10,openeye,6,H,0.346940006
13,1,0,elf10,openeye,1,N,-0.917129998
0,1,0,resp,vacuum,0,C,0.261971563
1,1,0,resp,vacuum,1,N,-0.973166891
2,1,0,resp,vacuum,2,H,-0.006379324
3,1,0,resp,vacuum,3,H,-0.006379324
4,1,0,resp,vacuum,4,H,-0.006379324
5,1,0,resp,vacuum,5,H,0.36516665
6,1,0,resp,vacuum,6,H,0.36516665
0,1,0,resp2,solvated,0,C,0.320423308
1,1,0,resp2,solvated,1,N,-1.084501812
2,1,0,resp2,solvated,2,H,-0.013223271
3,1,0,resp2,solvated,3,H,-0.013223271
4,1,0,resp2,solvated,4,H,-0.013223271
5,1,0,resp2,solvated,5,H,0.401874158
6,1,0,resp2,solvated,6,H,0.401874158
0,1,0,resp2,vacuum,0,C,0.23807556
1,1,0,resp2,vacuum,1,N,-0.891271473
2,1,0,resp2,vacuum,2,H,-0.00508321
3,1,0,resp2,vacuum,3,H,-0.00508321
4,1,0,resp2,vacuum,4,H,-0.00508321
5,1,0,resp2,vacuum,5,H,0.334222772
6,1,0,resp2,vacuum,6,H,0.334222772
14,1,0,resp2_d06,d=0.6,0,,0.287484209
15,1,0,resp2_d06,d=0.6,1,,-1.007209676
16,1,0,resp2_d06,d=0.6,2,,-0.009967247
17,1,0,resp2_d06,d=0.6,3,,-0.009967247
18,1,0,resp2_d06,d=0.6,4,,-0.009967247
19,1,0,resp2_d06,d=0.6,5,,0.374813604
20,1,0,resp2_d06,d=0.6,6,,0.374813604
0,1,1,am1bcc,openeye,0,C,0.145940001
1,1,1,am1bcc,openeye,1,N,-0.917129998
2,1,1,am1bcc,openeye,2,H,0.025769995
3,1,1,am1bcc,openeye,3,H,0.025769995
4,1,1,am1bcc,openeye,4,H,0.025769995
5,1,1,am1bcc,openeye,5,H,0.346940006
6,1,1,am1bcc,openeye,6,H,0.346940006
0,1,1,atb_conformer,atb,0,C,0.322
1,1,1,atb_conformer,atb,1,N,-1.013000008
2,1,1,atb_conformer,atb,2,H,-0.022999997
3,1,1,atb_conformer,atb,3,H,-0.022999997
4,1,1,atb_conformer,atb,4,H,-0.022999997
5,1,1,atb_conformer,atb,5,H,0.379999999
